用户名,评论
琴寒笙,"始于钢铁终于钢铁
三：小蜘蛛：我感觉很难受，我不想死，我不想死，先生，对不起
四：小蜘蛛：史塔克先生，我们赢了
you are lron man
I love lron man
爱你三千遍"
泰捷,还不错吧 买错票了
QGm223882470,好看，等待了好久
zja0404,二刷了，复联4真不愧是史诗级电影！
大大大大大吃货S,太难看，比任何一部都难看
网上购个爱,好看，三部电影联合到一起
悄寝浅窍,ヾ ^_^♪(๑‾᷅^‾᷅๑) 嫌弃你→_→(￣ ii ￣;) 吸溜(￣＂￣;)
明月清风.晓星尘,一般吧。。。。？？？？？
江边小元歌,很刺激，场面特效都很惊人
IpX627128606,不错     。。。。
LIYUN省省心,太好看啦，哈哈
小丑鸭的幸福。,嗯，不评价。凑数字。
ocean小贝,相当刺激，又是值得三刷的电影
WhereverYouWere,感觉还不错 无论是从剧情还是从特效
Dreams失梦人,以前都没有看过漫威系列的，但是漫威迷还是看得很起劲
ReeAlien,没得说！！！
卓一凡0651,电还是很不错啊影
坏银HR,还行吧还可以
淇淇实,漫威的十年，再会
ZZN73,好好好好好看
丹厦房产黄志福15759125925,不负期待，就是感觉节奏快了点
攻陷眼睛杀神,爱你三千遍！！！
